"Tax Identifier","Код налога"
"Tax Rate","Налоговая ставка"
"Tax Rate Information","Информация о налоговой ставке"
"Tax Rule Information","Информация о налоговом правиле"
"Tax Rules","Налоговые правила"
"Tax Section","Раздел налогов"
"Tax Titles","Название/заголовок налога"
"Tax rate cannot be removed. It exists in tax rule","Налоговая ставка не может быть удалена. Она используется в ценовом правиле"
"Tax rates at the same priority are added, others are compounded.","Налоговые ставки с одинаковым приоритетом складываются, остальные вычисляются в порядке приоритета."
"The tax class has been deleted.","Налоговая группа удалена."
"The tax class has been saved.","Налоговая группа сохранена."
"The tax rate has been deleted.","Налоговая ставка удалена."
"The tax rate has been imported.","Налоговая ставка импортирована."
"The tax rate has been saved.","Налоговая ставка сохранена."
"The tax rule has been deleted.","Налоговое правило удалено."
"The tax rule has been saved.","Налоговое правило сохранено."
"This class no longer exists","Эта система налогообложения больше не существует"
"This rule no longer exists","Это налоговое правило больше не существует"
"This rule no longer exists.","Это налоговое правило больше не существует."
"Total","Итого"
"Unit Price","Цена за шт."
"Whether catalog prices entered by admin include tax.","Цены каталога будут вводиться в панели администрирования включая налог."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Сумма доставки, вводимая в панели администрирования или получаемая из шлюзов включает налог."
"Yes","да"
"You cannot delete this tax class as it is used for %d customer groups.","Вы не можете удалить эту налоговую группу, потому что она используется %d категориями покупателей."
"You cannot delete this tax class as it is used for %d products.","Вы не можете удалить эту налоговую группу, потому что она используется %d товарами."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Вы не можете удалить эту налоговую группу, потому что она используется в налоговых правилах. Вначале необходимо удалить правила, использующие эту систему налогообложения."
"Zip/Post Code","Почтовый индекс"
"Zip/Post is Range","Почтовый индекс в диапазоне"
