"Customy","Customy"
"Products By Date (v.0.1.5)","Products By Date (v.0.1.5)"
"Products By Date","Products By Date"
"Enabled","Enabled"
"Note: in order to `Newest First` field order become default, please go to Configuration->CATALOG->Catalog->Frontend and select `Newest First` in `Product Listing Sort by`","Note: in order to `Newest First` field order become default, please go to Configuration->CATALOG->Catalog->Frontend and select `Newest First` in `Product Listing Sort by`"
"Position","Position"
"Newest First","Newest First"
